Date,Ethiopia,South Sudan,CAR,Chad,Egypt,Uganda,Libya,TOTAL
Apr-16,0,11,0,0,0,38,0,49
Apr-17,0,21,0,0,0,38,0,59
Apr-18,0,64,0,0,0,38,0,102
Apr-19,0,130,0,0,0,38,0,168
Apr-20,0,1104,0,0,0,38,0,1142
Apr-21,0,1804,0,0,0,38,0,1842
Apr-22,58,2436,0,11700,0,38,0,14232
Apr-23,58,3796,0,11700,0,38,0,15592
Apr-24,58,5177,0,20000,0,38,0,25273
Apr-25,58,6997,0,20000,0,38,0,27093
Apr-26,58,8975,0,20000,0,38,0,29071
Apr-27,58,12970,0,20000,16000,38,0,49066
Apr-28,58,16176,0,20000,16000,38,0,52272
Apr-29,58,19976,0,20000,16000,38,0,56072
Apr-30,58,23138,9686,20000,16000,38,0,68920
May-1,58,26802,9686,20000,42300,285,952,100083
May-2,58,29043,9686,23380,42300,285,952,105704
May-3,1121,31422,9686,23892,42300,285,952,109658
May-4,1465,35367,9686,25994,50500,285,952,124249
May-5,1756,37825,9725,25994,50500,285,952,127037
May-6,1756,40535,9725,26027,56450,285,952,135730
May-7,1756,43051,9725,26027,69980,285,952,151776
May-8,2592,45330,9725,26249,73684,285,952,158817
May-9,2592,47341,9725,27515,73684,285,952,162094
May-10,2592,50002,9725,28433,73684,285,952,165673
May-11,2592,51490,9730,60000,81172,285,952,206221
May-12,2592,53544,9730,60000,81172,285,952,208275
May-13,2592,55133,9730,60000,81172,285,952,209864
May-14,3040,56861,9730,60000,88873,285,952,219741
May-15,3384,58665,9730,60000,88873,285,952,221889
May-16,3384,60356,9730,60000,88873,285,952,223580
May-17,3384,61995,9730,60000,113190,285,952,249536
May-18,3769,63496,9730,60000,113190,285,952,251422
May-19,3769,65241,9730,60000,126364,285,952,266341
May-20,3769,66523,9730,60000,126364,285,952,267623
May-21,3769,68548,9730,60000,126364,285,952,269648
May-22,4943,71041,9730,60000,126364,285,952,273315
May-23,5220,73061,13824,90000,150565,285,952,333907
May-24,5220,74952,13824,90000,150565,285,952,335798
May-25,5651,76825,13824,90000,158965,285,952,346502
May-26,5651,78598,13824,90000,158965,285,952,348275
May-27,5651,80602,13824,90000,158965,285,952,350279
May-28,6183,82642,13824,90000,169565,285,952,363451
May-29,6183,84641,13824,90000,169565,285,952,365450
May-30,6483,86451,13824,100000,169565,285,952,377560
May-31,6483,88443,13824,100000,169565,285,952,379552
Jun-1,6998,90229,13824,100000,169565,794,1920,383330
Jun-2,6998,91598,13824,100000,169565,794,1920,384699
Jun-3,6998,93895,13824,100000,169565,794,1920,386996
Jun-4,7511,94471,13824,100000,169565,794,1920,388085
Jun-5,7511,94471,13824,113332,169565,794,1920,401417
Jun-6,8267,99305,13824,113332,169565,794,1920,407007
Jun-7,8267,99305,15069,113332,215565,794,1920,454252
Jun-8,9115,103748,15069,115980,215565,794,1920,462191
Jun-9,9115,105580,15069,115980,215565,794,1920,464023
Jun-10,9115,107437,15069,115980,215565,794,1920,465880
Jun-11,10181,110375,15069,115980,215565,794,1920,469884
Jun-12,10181,112622,15094,115980,215565,794,1920,472156
Jun-13,11087,114303,15094,115980,215565,794,1920,474743
Jun-14,11087,116664,15094,115980,215565,794,1920,477104
Jun-15,12039,118773,15094,115980,215565,794,1920,480165
Jun-16,12039,119734,15094,115980,215565,794,1920,481126
Jun-17,12039,120894,15094,115980,215565,794,1920,482286
Jun-18,13111,122021,15094,116916,215565,794,1920,485421
Jun-19,13111,122939,15094,116916,255565,794,1920,526339
Jun-20,13894,126771,15094,120242,255565,794,1920,534280
Jun-21,13894,129399,15094,120242,255565,794,1920,536908
Jun-22,14518,130909,15094,120242,255565,794,1920,539042
Jun-23,14518,131919,15335,142584,255565,794,1920,562635
